Organization,PS_No,submissions,Problem_Statement_Title,Description,Category,Domain Bucket,Youtube Link,Dataset Link
Bureau of Police Research & Development,RK59,38,Cyber Crime Prevention,"Cyber bullying involves posting and sharing wrong, private, negative, harmful information about victim. In today's digital world we see many such instances where a particular person is targeted. We are looking for the software solution to curb such bullying/harassment in cyber space. Such solution is expected to (1) work on social media such as twitter, facebook,etc. and on SMS, etc. (2) should alarm the authorities (3) facility to report such incidents to authority. Additional useful features are welcome.",Software,Security & Surveillance,,
Govt. of Madhya Pradesh,MS336,38,Developing Virtual Police Station to receive FIR with OCR based digital signature authenticated through digital signature (Aadhar Number based authentication).,"Designing a Virtual Police Station in which animated police officer would be used to interact with victim/victims to capture all the details with respect to identity of complainant, details of the incidence or crime committed will extract supplementary information to capture ingredient of the crimes committed, identity of criminals and likely witnesses the same would be converted in text format as an FIR which would be signed by the complaint/ victim through OCR device and verified through digital signature (using OTP based verification of Aadhar). The signed FIR would be routed to CCTNS system using Citizen Portal Bridge already available. Allowing OCR and Digital Signature of SHO to convert it in formal/ legally acceptable FIR.",Software,Software - Web App development,,
AICTE-MIC,IC468,39,Student Innovation,Smart Vehicles,Software,Smart Vehicles,,
AICTE-MIC,IC479,39,Student Innovation,Smart Cities,Hardware,Smart Cities,,
Bajaj Fin Serv,VA47,40,Lab Report Digitization / OCR,"Insurance companies regularly gets health check reports submitted by potential buyers of insurance. 
We need a way to digitize different kinds of printed lab reports / health check reports to discrete values of each parameter captured. Conversion to a standardized set of digitized value will help in automating lot of backend approval process. 
Ability to read and classify comments/observations for common parameters will be a big plus
When a customer is uploading his health check report regularly, then also a trend chart can be plotted for key parameters. 
Few sample reports will be provided to the participating teams. Test will be based on that as well as unknown set of health check reports post completion.",Software,Healthcare & Biomedical Devices,,
Department of Atomic Energy,PC88,40,Generalized Epileptic Seizure Alert System,"Epilepsy is a central nervous system (neurological) disorder in which brain activity becomes abnormal, causing seizures or periods of unusual behavior, sensations, and sometimes loss of awareness. Of the 70 million persons with epilepsy (PWE) worldwide, nearly 12 million PWE are expected to reside in India; which contributes to nearly one-sixth of the global burden. Epilepsy often manifests itself in childhood and is a cause of immense concern for the parents who are often kept on their toes anticipating the next seizure event. This causes psychological and health concerns amongst the primary caregivers who often stay awake through the night in anticipation. Seizures are of many kind with the most prevalent being generalized tonic-clonic seizures. A generalized tonic-clonic seizure, sometimes called a grand mal seizure, is a disturbance in the functioning of both sides of the brain. This disturbance is caused by electrical signals spreading through the brain inappropriately. Often this will result in signals being sent to the muscles, nerves, or glands. The spread of these signals in the brain can make one lose consciousness and have severe muscle contractions.The aim of this project is to develop a battery powered, low cost, portable generalized tonic-clonic seizure alert device which can notify nearby family members or caregivers when a seizure occurs through alarms, phone calls or text alerts, depending on the device. A caregiver can then help the person during and after the seizure. For example, they can help reposition the person, making sure they are on their side if they are not conscious. They can also make sure someone doesn’t fall asleep on their stomach afterwards. If breathing or other problems occur, they can call for medical help. They may also be able to give rescue medications or call for an ambulance if the seizure lasts too long or the person has repeated seizures. The project aims at using Inertial Measurement Unit/tri axial accelerometer as the primary sensing unit coupled with advanced signal processing and machine learning techniques to detect abnormal motions akin to seizures in the patients body. The proposed instrument shall also consist of heartbeat monitoring system for additional analytics related to sleep quality monitoring. The project has significant hardware and software challenges which includes accurate measurement and classification of jerking motions, continuous low power heart rate monitoring, signal processing and machine learning algorithms at a very low power budget. The proposed device will reduce burden on the primary caregivers or family members who often spend sleepless nights anticipating the seizure event.",Hardware,Healthcare & Biomedical Devices,,
Govt.of Sikkim,SG434,40,Data Storage and analytics with Dashboard,"Schools in Sikkim are located in different terrain and during monsoon season it’s very difficult to reach every school to get data. In govt sector sometimes we need data immediately in such scenario creating data is difficult We need a software or web portal which can store data of all students across the four districts .The data storage should be block level, district level and state level. As network is very challenging throughout the state of Sikkim. Software should be design such a way that data can be entry offline and later on put into the web when network is available. Design a desktop based application that records a variety of data like attendance or students as well as teachers, marks of students, and other statutory data as required by education department. Most important aspect of this application is sync only when network is available. It should additionally provide facility to upload file separately once in a month.",Software,Software - Web App development,,
AICTE-MIC,IC464,41,Student Innovation,Smart Communication,Software,Smart Communication,,
Department of Scientific and Industrial Research,AG53,44,Firefighting through high resistance robots,"Fire safe infrastructure is an essential part of construction industry. With High rise buildings it becomes more crucial to abate incidents of fire with technological interventions. Design a hardware device that can withstand fire and move inside the place with fire. It should have ability to douse the fire, identify survivors and help them in by dousing fire near them. It can also be a remotely controlled device.",Hardware,Security & Surveillance,,
Ministry of Housing and Urban Affairs,BC77,44,People come to cities because of better health facilities. What should be done to improve the health facilities in the city and also provide equitable access for all?,"There exists good medicle facilities across city in India. But due to higher migration rate and other factors, some people are not aware of these facilities. Moreover, eligible people are unaware of government schemes for availing medicle facilities. We are seeking software solution for (1) checking availability of nearby medical facilities, based on search criteria (2) facility for checking related medicle government schemes, as applicable.    Additional features are welcome.",Software,Healthcare & Biomedical Devices,,
Gov of Uttarakhand,MK99,44,"Way out for man-animal conflict, especially for protection of agriculture crops from wild animals","The effects of low prey density in the forest due to natural or man created situation, deforestation and human intervention is causing animal migration towards the human habitats especially in the areas which come in forest territory. As per the survey report of FRI Dehradun, Uttarakhand, The State of Uttarkhand recorded forest area of 38,000 Sq km which is 71.05% of its total geographical area of 53,483 Sq km that is largely facing the real issue of human-animal conflict. The animals are crossing the borders and destroying the agricultural crop of small and marginal famers in hilly areas of Uttarakhand. A published report of  'Wildlife management, Uttarakhand Forest Government of Uttarakhand' reported that the rate of human —animal highly being seen during cultivated time. The highly encountered wild animals at this time are — monkeys and wild boars, they destroy the agriculture cash crops such as — rice, pulses, wheat and vegetables, etc. The issue is raising agricultural disinterest amongst small and marginal farmers and directly impacting their livelihoods. To sustain interest of small and marginal farmers in hilly areas of Uttarakhand, requires technological intervention for protection of their agriculture crops from wild animals.",Hardware,Agriculture and Rural Development,,
AICTE-MIC,IC472,44,Student Innovation,Security & Surveillance,Software,Security & Surveillance,,
Cisco DEVNET,AM291,45,Mid-Day Meal Analytics,"The Mid-day Meal Scheme is a school meal programme of the Government of India and is designed to improve the nutritional standing of school-age children nationwide. The programme supplies free lunches on working days for children in primary and upper primary classes in Government schools. Serving 120,000,000 children in over 1,265,000 schools and Education Guarantee Scheme centers, it is the largest of its kind in the world. Student teams are expected to build machine vision solution to monitor the activities under the Mid-day Meal Scheme. 

Solution Expected: 
As the Mid-Day Meal program runs in schools across the country, continuous auditing and monitoring of the program might be challenging. 
Typical Auditing and Monitoring could involve: 
Ensuring number of students that took meal is same number reported. Lunch served is same as published/reported menu. Alerting in case of discrepancy and capability to centrally see past records / proof (numbers and visual) for any school. To design modules based on the above mentioned activities, video feed shall be provided to the student teams. These feeds shall come from the Meraki security camera. Typically, these shall come from the actual / imitated site i.e. schools, food serving area etc. Student teams are expected to explore the capabilities of Meraki camera’s inbuilt Machine learning (ML) modules and develop solutions around it. E.g. counting students, object recognition etc. Meraki security camera also has an inbuilt functionality to capture snapshot photos. Teams are expected to generate their own database based on the region of interest and features they wish to extract to develop ML models. Along with the expectations of Auditing & Monitoring the student teams should also propose innovative ideas (backed with research) to extract additional information from above snapshots / photos. While architecting the entire system, teams may explore the scalability factor of the system. 

The evaluations shall be based on the following criteria: 

1. Depth and research to understand Mid-Day meal scheme monitoring problem. 
2. Depth of understanding of Meraki camera product capabilities use cases. 
3. Depth and understanding of technologies proposed in solution.

Resources: 
https://developer.cisco.com/meraki 

https://developer.cisco.com/codeexchange/github/repo/CiscoDevNet/Object-
detection-via-Meraki-Camera 

https://developer.cisco.com/meraki/mv-sense/",Software,Software - Mobile App development,,
Cognizant Technology Solutions India Pvt. Ltd,MS453,45,"There is a need design drones and robots that can solve some of the pressing challenges of India such as handling medical emergencies, search and rescue operations.","General problem statement in simple terms. 
i)	In a flooding scenario, predict the impact of affected areas and assess the amount of damage
ii)	Identify most affected people in a flood situation
iii)	Prioritize rescue operations to the affected people
iv)	Early warning capability in localized area, to provide early warning to local population through SMS and alerting nearby crews for rescue
v)	Call out for help feature for users with direct access and location visibility  

The users of this system are two-fold:
General population: An end user who may be effected by the flood scenario;
Government Authorities and/or rescue mission crew: 

Technology that can address this issue
i)	A single dashboard that provides simple view of effected areas to crew control centers
ii)	A predictive AI model that prioritizes threat level displayed on mobile app and early warning sms by collection of the Drone data
iii)	A mobile app that provides latest information of effected areas and pinpoints effected or to be effected high risk population 
iv)	 The mobile app provides live visual streaming of the drone data

Technology platform recommendation 
i)	A cloud database with extensible features
ii)	A distributed database with scalability features 
iii)	Microservice orchestration platform for API integration ( Maps, regional data )  
iv)	On cloud UX for creating a native App
v)	Leverage  On cloud AI platform on R or Python for hosting a ML for priority prediction 
vi)	Leverage  decision tree model for prediction 
vii)	Leverage SMS API gateway
viii)	Leverage open platform streaming software for video
ix)	Use IOT hub services and API library for device API integration
x)	Leverage ready apps from Azure or AWS 
 
Device Integration 
i)	Off the shelve  Ultrasonic sensors : Refer
ii)	Refer ultrasonic sensors for water levels. 
iii)	Simple Drone with single camera for regional mapping 
iv)	Use Bureau of meteorology and river basin forums for data 

Desired Outcome: 
i)	User
1.	Provide a seamless, one-stop, empathy features and things to act for end users 
2.	Provide a focused incident and threat zone visibility 
3.	Create a prioritized rescue order feature map for crew on operations  
4.	Alarm module as dashboard consisting of immediate  evacuations area and live video streaming 
5.	 Water rising predictions with 95% accuracy with threat perception from small water bodies – SMS on mobile as early warning   
ii)	Government
a.	Minimize effected population impacts 
b.	Reduce cost of operations and focus energy where urgent need 
c.	In long run monitor and effectively co-ordinate relief material distribution 
d.	In the long run, this service can other disaster and rescue services
e.	Crowd sourcing of crews on help and run an integrated disaster control  room
f.	Manage all government agencies army, police, fire rescue, NGO from one place of control so to correctly leverage resources",Hardware,Robotics & Drones,,
AICTE-MIC,IC465,46,Student Innovation,Agriculture & Rural Development,Software,Agriculture and Rural Development,,
Ministry of Housing and Urban Affairs,BC73,48,"Every 1 out of 9 deaths is caused by air pollution. It is the most important environmental health risk of our times. Air in our cities is becoming hazardous to breathe. Air pollution in India has increased rapidly over the years owing to population growth, vehicular emissions, reduction in green cover due to deforestation, rapid industrialization, ineffective environmental regulations, etc. How can technology help our cities grow and yet reduce pollution?","Every 1 out of 9 deaths is caused by air pollution. It is the most important environmental health risk of our times. Air in our cities is becoming hazardous to breathe. Air pollution in India has increased rapidly over the years owing to population growth, vehicular emissions, reduction in green cover due to deforestation, rapid industrialization, ineffective environmental regulations, etc. How can technology help our cities to grow and yet reduce pollution? Design an estimation system/hardware device to enable people to decide the easiest way to reach a place without causing air pollution and carbon foot print due to each method. This system should also be able to track the carbon foot print of each individual.",Hardware,Sustainable Environment,,
Ministry of Petroleum and Natural Gas,AJ130,49,Technological advances in LPG sector,1.	A sensor may be developed to be put up on cylinders which will gauge the fuel quantity and automatically inform the linked distributor for refill cylinders. In this way usage of all the customers can be exactly mapped and we can have more accurate predictive demand and supply.,Hardware,Miscellaneous,,
Dr. B R Ambedkar Institute of Technology,DS165,49,Library software for Andaman College,"Computerization of Library Activities and Book Transactions
Design a system for library management system for Andaman college that has voice based search of books and automatic categorization of books in genres based on title. The system should search from the internet and get information about the book and put them into appropriate category based on title, authors and information collected online.",Software,Smart Education,,
AICTE-MIC,IC478,49,Student Innovation,Energy/ Renewable energy,Hardware,Energy / Renewable Energy,,
Ministry of Youth Affairs & Sports,DK1,50,NYKS requires a software / Mobile through which we may take attendance of the Officers who are working in the different districts and States across the country.,"Requirement for solution : • NYKS has 623 district offices and 29 state offices across the country. • NYKS needs software by which NYKS may take the attendance of the officers working in these districts and States. • The Mobile should collect the attendance based on the location of the officer through GPS system / Geo-Location System and voice recognition or • The software should collect the attendance based on landline telephone number and voice recognition.  We expect you to develop a web based app as a solution. However, it is highly recommended to also have a responsive app which can be opened in mobile view as well.",Software,Software - Web App development,,
NATIONAL CRIME RECORDS BUREAU,SK215,51,Mobile Apps for Citizens and Police for management of crime records,"Mobile Apps for Citizens and Police for management of crime records, beats, resource allocation, form fillings, request for NOC, appointments etc",Software,Software - Mobile App development,,
Bureau of Police Research & Development,RK62,52,Efficient Chatbot Designing,Efficient and user-friendly Chabot Based Crime Registration & Crime Awareness System,Software,Software - Web App development,,
Ministry of Housing and Urban Affairs,BC74,54,"Cities have issues of safety. There is data available in cities, which indicates a particular section being more unsafe than others. What should be done with these unsafe parts of any city to increase the safety of our citizens?","Cities in India are growing fast. Cities have safety issues. We often come across news and available data, which indicates a particular area being more unsafe than others. We are looking for a software solution for ensuring the safety of citizens in these unsafe areas. Safety measures, Warning messages, Asking for help, etc. can be features. Additional features are welcome.",Software,Software - Web App development,,
All India Institute of Ayurveda - Ministry of AYUSH,DA192,54,App for online OPD appointment & Hospital Information System,"An Google/iOS application has to be developed for booking an online appointment for Out patient consultation at hospital 
The app should be having a feature to be integrated with existing Integrated Hospital Management System which is developed in .net & SQL environment",Software,Software - Mobile App development,https://youtu.be/uTsTEiQAJag,https://youtu.be/uTsTEiQAJag
Govt.of Sikkim,SG436,55,Online STET (State Teacher Eligibility Test) Software or web portal.,"Education Department Govt of Sikkim, every year conduct STET (State Teacher Eligibility Test) exam for all categories of teachers Primary Teacher, Graduate Teacher and Post Graduate Teacher before the recruitment exam. All the eligible candidates will apply for STET, so the applicants will be almost 5000. Checking all the documents, verifying them and issuing admit cards to individual candidate manually is a difficult job, which we are carrying for many years. During this span of time we made human error and had to repeat the processes. What we want : To make the STET exam error free and quick solution, we are in need of online software or window where candidates can login, register, fill the form and submit. Software should keep bio data of the candidate, print admits cards and later we can display online result of STET as well. During all the process automatic SMS and Email facilities should be included. Mobile app will be more convenient along with software. Challenges Network connectivity is not uniform all throughout the state of Sikkim so software should be develop in such a way that it can run with less network ,that is it can open only that window which candidate wants.
Design a application that integrates with some reliable system like DigiLocker for verification of documents, or accept documents signed by DigiLocker eSign for document verification. Reduce manual intervention wherever possible, manual verification should be done only when final offer letter is to be issued.",Software,Software - Web App development,,
AICTE-MIC,IC489,55,Student Innovation,Security & Surveillance,Hardware,Security & Surveillance,,
"Department of Information Technology and Bio Technology, Government of Karnataka",SR272,56,Development of online platform for mentoring Startups,"There are many success stories around startup now a days. Presently, there is no online platform for mentoriship of startups. Mentoring and guidance are very critical for early stage startups. Online platform may help in reaching out to startups at grass root level including college students. So, we looking for software solution for (1) creating startups and mentors community. This can help Startups with market trends, etc. (2) helping startups to reach to mentors in required domain (3) possible help to startups to reach at grass root level, colleges for talent based on different criterias.",Software,Software - Web App development,,
Ministry of Health and Family Welfare,SS45,58,Leveraging block chain technology for creation of Electronic Health Record (EHR),"EHR generally contains highly-sensitive and critical data related to patients, which is frequently shared among clinicians, radiologists, healthcare providers, pharmacists, and researchers, for effective diagnosis and treatment. Hence, may use block chain technology for accessing and managing the privacy and security of patient data and history in clinical practices.",Software,Healthcare & Biomedical Devices,,
AICTE-MIC,IC463,58,Student Innovation,Smart Cities,Software,Smart Cities,,
Department of Scientific and Industrial Research,AG50,59,Smart Management of Food Storage and Waste Reduction,"India is a developing country with a steep rise in population but a fall in the cultivable land area. India is able to produce enough food to feed the people. However, it stands 97th in Oxfam’s Food Availability Index, and 103rd in the 2018 Global Hunger Index. The major cause could be the wastage of food produced at various levels. With the constant rise in population, India will have to smartly manage its food resources. We have to develop smart management techniques for food storage and reduce the wastage. Develop an application to provide a network of ware houses and farmers. Engage a logistic provider network to enable farmers directly use the network to sell their produce. Additionally provide facility to access warehouses and cold storages. Such a network will also enable judging whether enough storage capacity is available and also provide optimal usage of the facilities available.",Software,Waste Management,,
AICTE-MIC,IC490,59,Student Innovation,Miscellaneous,Hardware,Miscellaneous,,
CDK Global,RA26,62,Geo Tracking of Waste and Triggering Alerts and Mapping Areas with High Waste Index,"•	Problem statement in Description 
o	We do have waste lying in cities which makes it hard for cleaning staff to know which area requires attention and urgent garbage, waste pickup
o	Identifying Waste across in the City 
•	With Swachh Bharat App , it requires people to take pictures and geo tag the images , due to which adoption is low, 
•	With the Drone connectivity and intelligent algorithms, pattern matching the drone can fly in designated coverage areas help monitor the waste
•	Cameras attached to Govt or Public Vehicles while driving can capture video and identify garbage areas and upload images (image /video scanning ) 
•	Ability to capture images of garbage and upload, images will automatically have GEO location position of the image  
o	Viewing the high waste areas 
•	Mapping the location on a map with the Waste Quantity Index (approximate) so that the waste management team , can quickly take action based on the wastage level thrown in an area
•	Lateral Scenarios and Scaling the solution  
o	Flood Monitoring and reporting
o	Traffic Monitoring due events
o	Toll Booth Huge Lines Monitoring
•	Purpose of this analysis and who will benefit
o	Govt agencies , citizens  
•	How does it help the nation
o	Govt Agencies 
•	Practical and reasons why this idea could be a challenge
o	Device manufacturing  that works across regions , network connectivity
o	Security of devices, drones and permission to have them executed in specific areas
o	Costs of drones and manageability – alternative for using Image/video capture automatically and via image capture 
o	Economically viable in managing the security of such devices , drones",Software,Waste Management,https://www.youtube.com/watch?v=uRPV9K2SS48&t=15s,https://www.youtube.com/watch?v=uRPV9K2SS48&t=15s
"Dte of IT & Cyber Security, DRDO",CK117,62,Smart clothes for Security Forces,"The solution should support central monitoring of a group of Security Personnel and also be capable of transfering their individual Psycho-physiological data (like BP, Heart Rate, etc.) to central location using cloud/any other technology. Security and privacy are very important aspects of this application, hence, ensure appropriate standards are followed.",Hardware,Healthcare & Biomedical Devices,,
Dr. B R Ambedkar Institute of Technology,DS159,62,Court Case Management software,"Repository of departmental court cases
Design and prepare a court case management software that has facility to record information like adding a case, adding lawyers (have facility select from existing list of lawyers), add invoice for for each hearing and for different heads under which lawyers charge the clients. In short the system should provide end to end management of court case from client perspective and should be easy to use.",Software,Software - Web App development,,
GE Healthcare,UP125,64,Warm patient mattress,"Humans normally maintain a body temperature at 37°C, and maintenance of this relatively high temperature is critical to human survival.  Our bodies are designed to tightly control our internal temperature, no matter what the external temperature is.

Operating temperature in a CT/MRI/PET exam room  is normally between 18deg C to 26 Deg C and kept on an average ~22Deg C. Since room temperature is lower than your body temperature, contact surface of medical device (mattress, pad, support surfaces etc..) quickly absorb the heat from patient’s skin, making patient feel cold. This discomfort to patient during medical imaging /Interventional procedures increases the negative patient outcome due to patient shivering & unintended patient motion. Due to this cold temperature, patients may activate “brown” fat at contact surface which contains adrenergic receptors and generates heat by metabolizing glucose. This can show up on scans and potentially hide true “lesions” in PET imaging.

Currently hospitals uses blankets to cover or to enfold a great portion of the Patient's body during scan to trap radiant bodily heat and keeping the body warm. Hospitals uses a lot of blankets as each patient requires a new / washed blanket.. busy centers will go through on avg. 10 blankets in a day. 
Key Constraints: 
User adjustable temperature 
Automated temperature control to set temperature “ Range 20°C -40°C”. Quick response to set temperature within 3 min.
Mattress/Pad material:- Radiolucency , MR Compatibility, Biocompatible and Easy to clean.
Comfortable foam pad
Mattress/pad size: 2mtr length x 0.42 mtr width
On/Off switch and Indicator
Accurate measurement of temperature of warm mattress/bed (Tolerance +/-1 Deg)
Current temperature display of the heating pad/mattress all the time.
Fail safe heating mechanism-redundant temperature cut off mechanism
Goal : Develop a ~2 meter long warm patient mattress/pad to provide mild warmness to patients during Imaging systems (PET/CT/MRI/Interventional Imaging Systems)",Hardware,Healthcare & Biomedical Devices,,
Amazon Web Services,AN319,64,Elderly care system,"Develop a technology-based solution for Kids, Senior citizens, especially abled individual on any one who need supervision which can alarm the concerned person in case person who need supervision is crossing a specified boundary for eg 10 meters outside a specified boundary. You should also think about more innovative ideas to see what more value you can bring to these individuals for eg : devices which can apart from keep tracking an individual can also collect heath parameters such as heart rate and alert concerned person in case of any issue. This health data can be further used for research and development   of these individuals.",Software,Healthcare & Biomedical Devices,,
"National Mission for Clean Ganga, DoWR, RD & GR, Ministry of Jal Shakti",PG175,64,Artificial intelligence enabled robotic trash boat to drive & harvest floating trash from urban drain.,"A large quantity of floating trash is finding its way into the urban drainage systems from where it is potentially able to travel via the urban drain, streams, rivers, lakes and estuaries until it eventually reaches the open sea. A prototype artificial intelligence enabled robotic trash boat can be develop which can harvest floating trash from urban drain. The trash boat can be operate online/remotely.",Hardware,Clean Water,,
Govt.of Sikkim,SG435,64,Mini Hydro power project for Schools,"Schools in Sikkim are all located in the inclined slope where streams flow down the hill with high current. If we place small power plant in these running streams we can generate electric power which can be used in school for various power apparatus ,machine ,Labs and others daily uses. Moreover it will be good site for electric power generation. For such we are in need of equipments to set small power plants and installation guide. Design a method to develop such models that can generate considerable amount of electricity by using waste or cheap products. Demonstrate multiple models of such power generators along with documentation that can be used by students to create such models themselves.",Hardware,Energy / Renewable Energy,https://youtu.be/WekMH8F_IuE,https://youtu.be/WekMH8F_IuE
AICTE-MIC,IC488,64,Student Innovation,Healthcare & Biomedical devices,Hardware,Healthcare & Biomedical Devices,,
AICTE-MIC,IC473,67,Student Innovation,Miscellaneous,Software,Miscellaneous,,
"Dte of IT & Cyber Security, DRDO",CK107,69,Video based dynamic human authentication system for access control,"Though there exists a technology for face recognition based authentication, dynamic human recognition based authentication is highly challenging. For a given entrance gate a hardware-software solution is needed to identify every unique person who enters or exit the gate, with log of all previous entry/exit time, photo/videos recorded. That means there will not be a previous history of an individual on the first entry. The system should immediately alert the security if it is a new person and the security will decide to allow/restrict that person entering inside the premises. Whereas, the system should learn from its previous history of videos/images dynamically to allow a known person. For a given size of the gate, the number of cameras with optimal resolution required is also to be worked out as part of solution. The solution should be scalable and preferably based open source.",Software,Security & Surveillance,,
Ministry of Tribal Affairs,DN260,69,"E –Marketplace (Like Amazon, flipkart) wherein tribals can promote, market and sell tribal produce such as handicrafts, arts, paintings, minor forest products etc. on line with provision of delivery and e-payment and promotional discounts.","E –Marketplace (Like Amazon, flipkart) wherein tribals can promote, market and sell tribal produce such as handicrafts, arts, paintings, minor forest products etc. on line with provision of delivery and e-payment and promotional discounts.",Software,Software - Web App development,,
Indian Space Research Organisation (ISRO),NM396,69,Sentiment Analysis from text feedback:,"Webportals like Bhuvan get vast amount of feedback from the users. To go through all the feedbacks can be a tedious job. 

Develop software to categorize opinions expressed in feedback forums. This can be utilized for feedback management system. The software must provide the following output.

1)	Classification of individual comments/reviews.
2)	Determining overall rating based on individual comments/reviews. The Multi-Domain Sentiment Dataset contains product reviews taken from Amazon.com from many product types (domains).
http://jmcauley.ucsd.edu/data/amazon/",Software,Miscellaneous,,
GE Healthcare,UP49,70,Early Prediction of Sepsis from Clinical Data,"The goal of this Challenge is the early detection of sepsis using physiological data. For the purpose of the Challenge, defined sepsis according to the Sepsis-3 guidelines, i.e., a two-point change in the patient's Sequential Organ Failure Assessment (SOFA) score and clinical suspicion of infection (as defined by the ordering of blood cultures or IV antibiotics) (Singer et al., 2016).
The early prediction of sepsis is potentially life-saving, and challenging participants to predict sepsis 6 hours before the clinical prediction of sepsis. Conversely, the late prediction of sepsis is potentially life-threatening, and predicting sepsis in non-sepsis patients (or predicting sepsis very early in sepsis patients) consumes limited hospital resources.
Develop a digital solution that uses artificial intelligence to detect patient deterioration before it’s too late and trigger notifications to clinicians and care teams. Train healthcare providers and front-line staff to quickly recognize symptoms to identify sepsis and treat patients at the earliest. Also, educate preventing infections in health care settings and in the community so that infections that can lead to sepsis can be stopped before they happen. Provide guidelines to follow infection control requirements (e.g., Hand hygiene) and ensure one to receive recommended vaccines (e.g., Flu and pneumococcal, etc.).
Abstract
Sepsis is a life-threatening condition that occurs when the body's response to infection causes tissue damage, organ failure, or death (Singer et al., 2016). In the U.S., nearly 1.7 million people develop sepsis and 270,000 people die from sepsis each year; over one third of people who die in U.S. hospitals have sepsis (CDC). Internationally, an estimated 30 million people develop sepsis and 6 million people die from sepsis each year; an estimated 4.2 million newborns and children are affected (WHO). Sepsis costs U.S. hospitals more than any other health condition at $24 billion (13% of U.S. healthcare expenses) a year, and a majority of these costs are for sepsis patients that were not diagnosed at admission (Paoli et al., 2018). Sepsis costs are even greater globally with the developing world at most risk. Altogether, sepsis is a major public health issue responsible for significant morbidity, mortality, and healthcare expenses.
Early detection and antibiotic treatment of sepsis are critical for improving sepsis outcomes, where each hour of delayed treatment has been associated with roughly an 4-8% increase in mortality (Kumar et al., 2006; Seymour et al., 2017). To help address this problem, clinicians have proposed new definitions for sepsis (Singer et al., 2016), but the fundamental need to detect and treat sepsis early still remains, and basic questions about the limits of early detection remain unanswered. data set https://physionet.org/content/challenge-2019/1.0.0/",Software,Healthcare & Biomedical Devices,,
Yamaha Motor Solution India Pvt Ltd,DK287,76,Mobile game for Alzheimer’s Disease detection,"Alzheimer's disease is a type of dementia that causes problems with memory, thinking and behavior. Symptoms usually develop slowly and get worse over time, becoming severe enough to interfere with daily tasks.",Software,Healthcare & Biomedical Devices,,
AICTE-MIC,IC477,76,Student Innovation,Waste management,Hardware,Waste Management,,
AICTE-MIC,IC481,76,Student Innovation,Agriculture & Rural Development,Hardware,Agriculture and Rural Development,,
"Andhra Pradesh Innovation Society, ITE&C Department",VS19,78,Cost effective mechanism to treat waste water in small villages,Design and develop Cost effective mechanisms to treat waste water in small villages,Hardware,Clean Water,,
AICTE-MIC,IC471,78,Student Innovation,Healthcare & Biomedical devices,Software,Healthcare & Biomedical Devices,,
Education department Gujarat,AD362,79,Traffic Clearance for Ambulance/(or other priority Vehicle) through Artificial Intelligence,"Traffic is the most critical problem in major cities in India. Sometimes emergency vehicle does not get route to reach at the destination due to heavy congestion on the road. Even if its desired, driver or owner of vehicle is in such a crucial position that he/she can not give space to such emergency vehicle. Emergency vehicle may be ambulance or fire-fighting equipment carrying vehicle, police van or disaster management vehicle. In emergency situation, vehicle should reach in time at proper destination but unfortunately traffic situation block that vehicle. In emergency situation like severe heat attack, pregnancy , accident, fire etc. it is necessary for a vehicle to reach at the destination in short time. In medical emergency, it is necessary to provide emergency medical treatment to the patient. It is necessary to reach at nearest and best hospital in time. Most of cities and even district place are having problem of traffic and due to which ambulance and other emergency vehicles are not getting free route to reach at the destination. Other Emergency occurs anywhere at any location, at any time, and in various ways will make one at risk such as fire. Fire fighting vehicle must reach in time to save life and property. These situations require a speedy response. So it is very crucial and important to establish direct, fast and efficient technique without delay. Artificial intelligence may help us to solve this real life challenge. Patient, Fire brigade office, Hospitals, Police Traffic congestion has grown to an alarming event in major cities across India. Ambulance Driver will select route to reach hospital. System will automatically control traffic light based on population of vehicle and based on priority on that route. (Controls entire area surrounding route). Other features like Ambulance arrival indication to surrounding vehicle will give extra benefit. Emergency vehicle will be able to reach at the destination in time. If emergency vehicle is ambulance, patient will get treatment in time. Iif emergency vehicle is fire fighting equipment it will be able to control fire. If emergency vehicle is police van, it will be able to control crime. Vehicular traffic is endlessly increasing everywhere in the world and can cause terrible traffic congestion at intersections. This solution will allow emergency vehicle to get route during emergency situations. Traffic congestion and tidal flow are major facts that cause delay to ambulance.The loss of human life due to accident and delay in getting proper treatment must be avoided. In order to save human life from accidents and unnecessary delay due to traffic congestion will be avoided due to this solution and it will help to save precious human life.As cameras are deployed on most of the signals today, Computer Vision can be used for vehicle count and will be stored and updated in a steaming manner. This will thus help create effective algorithms to alter the time of the traffic signals based on this real time vehicle count, also by making sure that the traffic congestions doesnt increase exponentially and multiple emergency vehicles does not put the system in a deadlock.",Hardware,Smart Cities,,
AICTE-MIC,IC485,79,Student Innovation,Smart Vehicles,Hardware,Smart Vehicles,,
Bureau of Police Research & Development,RK60,80,Interactive map application for real time crime reporting,Interactive & user friendly map application for the public to inform police about the crimes and emergencies in real time.,Software,Security & Surveillance,,
